# 2D electrostatic potential on XZ plane
# Columns: X (nm)  Z (nm)  Potential (V)
# Grid: 171 x 171
  0.171717  8.057103  -2.916898e-02
  0.171717  8.117911  -2.828631e-01
  0.171717  8.178719  -1.714835e-01
  0.171717  8.239527  -2.218972e-01
  0.171717  8.300336  4.196192e-02
  0.171717  8.361144  2.184126e-01
  0.171717  8.421952  1.792214e-01
  0.171717  8.482761  -1.517265e-01
  0.171717  8.543569  -2.615515e-02
  0.171717  8.604377  6.120349e-02
  0.171717  8.665186  -2.402914e-01
  0.171717  8.725994  -1.535725e-02
  0.171717  8.786802  5.825431e-01
  0.171717  8.847611  8.831065e-01
  0.171717  8.908419  5.080016e-01
  0.171717  8.969227  2.327673e-01
  0.171717  9.030036  3.859618e-01
  0.171717  9.090844  2.320066e-01
  0.171717  9.151652  1.171959e-01
  0.171717  9.212461  -9.552707e-02
  0.171717  9.273269  -2.598055e-01
  0.171717  9.334077  -2.743152e-01
  0.171717  9.394886  -1.339974e-01
  0.171717  9.455694  -1.793045e-01
  0.171717  9.516502  8.392560e-02
  0.171717  9.577311  9.395264e-02
  0.171717  9.638119  1.181482e-01
  0.171717  9.698927  3.351858e-01
  0.171717  9.759735  2.876715e-01
  0.171717  9.820544  -7.723518e-02
  0.171717  9.881352  -1.366695e-01
  0.171717  9.942160  -5.780554e-02
  0.171717  10.002969  4.323957e-02
  0.171717  10.063777  2.479730e-01
  0.171717  10.124585  -1.121596e-01
  0.171717  10.185394  3.486546e-01
  0.171717  10.246202  4.433704e-01
  0.171717  10.307010  1.550287e-01
  0.171717  10.367819  -1.241354e-01

  0.240403  0.030404  3.383511e-01
  0.240403  0.091212  1.955518e-01
  0.240403  0.152021  3.899643e-01
  0.240403  0.212829  4.008942e-01
  0.240403  0.273637  8.069560e-02
  0.240403  0.334446  -9.089372e-02
  0.240403  0.395254  -3.619771e-02
  0.240403  0.456062  9.265184e-02
  0.240403  0.516871  3.802586e-02
  0.240403  0.577679  -2.882085e-01
  0.240403  0.638487  -3.546953e-01
  0.240403  0.699296  -1.699560e-01
  0.240403  0.760104  -2.546870e-01
  0.240403  0.820912  -4.023828e-01
  0.240403  0.881721  -1.719093e-01
  0.240403  0.942529  -2.087657e-01
  0.240403  1.003337  -3.156759e-01
  0.240403  1.064146  -2.153417e-01
  0.240403  1.124954  -4.223456e-01
  0.240403  1.185762  -4.145054e-01
  0.240403  1.246571  -4.813159e-01
  0.240403  1.307379  -2.899697e-01
  0.240403  1.368187  -2.551339e-01
  0.240403  1.428996  -4.559525e-01
  0.240403  1.489804  -5.406790e-01
  0.240403  1.550612  -9.046920e-01
  0.240403  1.611421  -6.204409e-01
  0.240403  1.672229  -5.907767e-01
  0.240403  1.733037  -4.533616e-01
  0.240403  1.793845  -1.258151e-01
  0.240403  1.854654  -2.859411e-01
